,DATE,Population,Hurricane,Hurricane Date,Location,Hurricane Year,Population Year,Delta
0,2001-01-01,254.502,Ike,2008-09-13,Galveston,2008,2001,-7
1,2002-01-01,260.034,Ike,2008-09-13,Galveston,2008,2002,-6
2,2003-01-01,265.12,Ike,2008-09-13,Galveston,2008,2003,-5
3,2004-01-01,269.458,Ike,2008-09-13,Galveston,2008,2004,-4
4,2005-01-01,274.354,Ike,2008-09-13,Galveston,2008,2005,-3
5,2006-01-01,278.626,Ike,2008-09-13,Galveston,2008,2006,-2
6,2007-01-01,283.294,Ike,2008-09-13,Galveston,2008,2007,-1
7,2008-01-01,288.214,Ike,2008-09-13,Galveston,2008,2008,0
8,2009-01-01,287.044,Ike,2008-09-13,Galveston,2008,2009,0
9,2010-01-01,292.492,Ike,2008-09-13,Galveston,2008,2010,1
10,2011-01-01,295.632,Ike,2008-09-13,Galveston,2008,2011,2
11,2012-01-01,301.099,Ike,2008-09-13,Galveston,2008,2012,3
12,2013-01-01,306.652,Ike,2008-09-13,Galveston,2008,2013,4
13,2014-01-01,313.451,Ike,2008-09-13,Galveston,2008,2014,5
14,2015-01-01,321.074,Ike,2008-09-13,Galveston,2008,2015,6
15,2016-01-01,329.038,Ike,2008-09-13,Galveston,2008,2016,7
16,2017-01-01,334.691,Ike,2008-09-13,Galveston,2008,2017,8
17,2018-01-01,337.639,Ike,2008-09-13,Galveston,2008,2018,9
18,2019-01-01,341.541,Ike,2008-09-13,Galveston,2008,2019,10
19,2020-01-01,345.089,Ike,2008-09-13,Galveston,2008,2020,11
