,DATE,Real GDP,Hurricane,Hurricane Date,Location,Hurricane Year,Real GDP Year,Delta
0,2001-01-01,1020537.8,Ike,2008-09-13,Galveston,2008,2001,-7
1,2002-01-01,1043566.9,Ike,2008-09-13,Galveston,2008,2002,-6
2,2003-01-01,1050609.4,Ike,2008-09-13,Galveston,2008,2003,-5
3,2004-01-01,1109477.0,Ike,2008-09-13,Galveston,2008,2004,-4
4,2005-01-01,1141373.7,Ike,2008-09-13,Galveston,2008,2005,-3
5,2006-01-01,1228547.3,Ike,2008-09-13,Galveston,2008,2006,-2
6,2007-01-01,1286192.7,Ike,2008-09-13,Galveston,2008,2007,-1
7,2008-01-01,1282088.7,Ike,2008-09-13,Galveston,2008,2008,0
8,2009-01-01,1277295.4,Ike,2008-09-13,Galveston,2008,2009,0
9,2010-01-01,1309962.4,Ike,2008-09-13,Galveston,2008,2010,1
10,2011-01-01,1353600.4,Ike,2008-09-13,Galveston,2008,2011,2
11,2012-01-01,1421180.1,Ike,2008-09-13,Galveston,2008,2012,3
12,2013-01-01,1484700.1,Ike,2008-09-13,Galveston,2008,2013,4
13,2014-01-01,1529617.1,Ike,2008-09-13,Galveston,2008,2014,5
14,2015-01-01,1605901.7,Ike,2008-09-13,Galveston,2008,2015,6
15,2016-01-01,1619954.2,Ike,2008-09-13,Galveston,2008,2016,7
16,2017-01-01,1664218.5,Ike,2008-09-13,Galveston,2008,2017,8
17,2018-01-01,1729286.6,Ike,2008-09-13,Galveston,2008,2018,9
18,2019-01-01,1785317.9,Ike,2008-09-13,Galveston,2008,2019,10
19,2020-01-01,1734321.1,Ike,2008-09-13,Galveston,2008,2020,11
