,DATE,Median Income,Hurricane,Hurricane Date,Location,Delta
12,2001-01-01,27868,Ike,2008-09-13,Galveston,-7
13,2002-01-01,27497,Ike,2008-09-13,Galveston,-6
14,2003-01-01,28036,Ike,2008-09-13,Galveston,-5
15,2004-01-01,28630,Ike,2008-09-13,Galveston,-4
16,2005-01-01,30146,Ike,2008-09-13,Galveston,-3
17,2006-01-01,29380,Ike,2008-09-13,Galveston,-2
18,2007-01-01,33497,Ike,2008-09-13,Galveston,-1
19,2008-01-01,33272,Ike,2008-09-13,Galveston,0
20,2009-01-01,32635,Ike,2008-09-13,Galveston,0
21,2010-01-01,33198,Ike,2008-09-13,Galveston,1
22,2011-01-01,31892,Ike,2008-09-13,Galveston,2
23,2012-01-01,33650,Ike,2008-09-13,Galveston,3
24,2013-01-01,34777,Ike,2008-09-13,Galveston,4
25,2014-01-01,33698,Ike,2008-09-13,Galveston,5
26,2015-01-01,37536,Ike,2008-09-13,Galveston,6
27,2016-01-01,34587,Ike,2008-09-13,Galveston,7
28,2017-01-01,37723,Ike,2008-09-13,Galveston,8
29,2018-01-01,39533,Ike,2008-09-13,Galveston,9
30,2019-01-01,43601,Ike,2008-09-13,Galveston,10
31,2020-01-01,45989,Ike,2008-09-13,Galveston,11
