DATE,ENU3600520510
1990-01-01,13853
1990-04-01,13936
1990-07-01,13926
1990-10-01,13851
1991-01-01,14001
1991-04-01,14044
1991-07-01,14015
1991-10-01,13992
1992-01-01,13955
1992-04-01,13968
1992-07-01,13973
1992-10-01,13988
1993-01-01,14000
1993-04-01,14004
1993-07-01,13989
1993-10-01,13935
1994-01-01,13988
1994-04-01,13981
1994-07-01,13993
1994-10-01,13926
1995-01-01,14028
1995-04-01,14052
1995-07-01,14051
1995-10-01,14033
1996-01-01,14132
1996-04-01,14140
1996-07-01,14430
1996-10-01,14317
1997-01-01,14475
1997-04-01,14471
1997-07-01,14580
1997-10-01,14374
1998-01-01,14350
1998-04-01,14306
1998-07-01,14231
1998-10-01,14288
1999-01-01,14448
1999-04-01,14537
1999-07-01,14502
1999-10-01,14464
2000-01-01,14447
2000-04-01,14380
2000-07-01,14465
2000-10-01,14368
2001-01-01,14628
2001-04-01,14685
2001-07-01,14888
2001-10-01,14912
2002-01-01,14638
2002-04-01,14695
2002-07-01,14777
2002-10-01,14941
2003-01-01,14895
2003-04-01,15007
2003-07-01,14992
2003-10-01,15001
2004-01-01,15080
2004-04-01,15118
2004-07-01,15234
2004-10-01,15217
2005-01-01,15480
2005-04-01,15541
2005-07-01,15555
2005-10-01,15549
2006-01-01,15558
2006-04-01,15641
2006-07-01,15640
2006-10-01,15552
2007-01-01,15618
2007-04-01,15593
2007-07-01,15603
2007-10-01,15526
2008-01-01,15665
2008-04-01,15760
2008-07-01,15858
2008-10-01,15832
2009-01-01,16050
2009-04-01,16093
2009-07-01,16179
2009-10-01,16178
2010-01-01,16383
2010-04-01,16563
2010-07-01,16560
2010-10-01,16563
2011-01-01,16693
2011-04-01,16686
2011-07-01,16745
2011-10-01,16665
2012-01-01,16771
2012-04-01,16933
2012-07-01,16918
2012-10-01,16933
2013-01-01,17011
2013-04-01,17070
2013-07-01,17101
2013-10-01,17027
2014-01-01,17193
2014-04-01,17316
2014-07-01,17487
2014-10-01,17505
2015-01-01,17533
2015-04-01,17676
2015-07-01,17861
2015-10-01,17996
2016-01-01,17590
2016-04-01,17767
2016-07-01,17917
2016-10-01,18023
2017-01-01,17674
2017-04-01,17884
2017-07-01,18105
2017-10-01,18143
2018-01-01,18021
2018-04-01,18141
2018-07-01,18098
2018-10-01,18153
2019-01-01,17768
2019-04-01,18325
2019-07-01,18430
2019-10-01,18537
2020-01-01,18500
2020-04-01,18322
2020-07-01,18432
2020-10-01,18634
2021-01-01,18499
2021-04-01,18336
