DATE,Unemployment Rate
1/1/2008,11.9
2/1/2008,11.3
3/1/2008,10.6
4/1/2008,8.2
5/1/2008,6.5
6/1/2008,5.3
7/1/2008,5
8/1/2008,4.8
9/1/2008,5.6
10/1/2008,7.8
11/1/2008,10.7
12/1/2008,12.3
1/1/2009,15.4
2/1/2009,15.3
3/1/2009,14.6
4/1/2009,11.5
5/1/2009,9.2
6/1/2009,8
7/1/2009,7.4
8/1/2009,7.1
9/1/2009,8.1
10/1/2009,11.1
11/1/2009,14.1
12/1/2009,15.6
1/1/2010,21.2
2/1/2010,21.2
3/1/2010,19.5
4/1/2010,15.6
5/1/2010,12.5
6/1/2010,10.5
7/1/2010,9.3
8/1/2010,8.8
9/1/2010,9.9
10/1/2010,12.8
11/1/2010,16.9
12/1/2010,17.9
1/1/2011,21.6
2/1/2011,20.7
3/1/2011,19.2
4/1/2011,15.8
5/1/2011,13.7
6/1/2011,11.2
7/1/2011,10.1
8/1/2011,9.8
9/1/2011,11.2
10/1/2011,13.9
11/1/2011,17.4
12/1/2011,19
1/1/2012,22.1
2/1/2012,21.6
3/1/2012,20.2
4/1/2012,16.5
5/1/2012,14.6
6/1/2012,11.7
7/1/2012,10.9
8/1/2012,10.6
9/1/2012,11.6
10/1/2012,14.3
11/1/2012,17.2
12/1/2012,19.7
1/1/2013,23.2
2/1/2013,22.2
3/1/2013,20
4/1/2013,16.2
5/1/2013,13.7
6/1/2013,11
7/1/2013,9.9
8/1/2013,9.2
9/1/2013,10.2
10/1/2013,12.4
11/1/2013,15.8
12/1/2013,15.9
1/1/2014,19.4
2/1/2014,19
3/1/2014,17.4
4/1/2014,13.3
5/1/2014,10.4
6/1/2014,8.4
7/1/2014,8
8/1/2014,7.5
9/1/2014,8.4
10/1/2014,10.4
11/1/2014,14.5
12/1/2014,15
1/1/2015,18.4
2/1/2015,18.1
3/1/2015,16.3
4/1/2015,12.6
5/1/2015,10.1
6/1/2015,8.2
7/1/2015,7
8/1/2015,6.1
9/1/2015,6.6
10/1/2015,8.7
11/1/2015,12
12/1/2015,12.7
1/1/2016,15.7
2/1/2016,15.6
3/1/2016,14.6
4/1/2016,11.4
5/1/2016,8.4
6/1/2016,7
7/1/2016,6.1
8/1/2016,5.5
9/1/2016,6.3
10/1/2016,8.1
11/1/2016,11
12/1/2016,12.2
1/1/2017,15.1
2/1/2017,14.9
3/1/2017,13
4/1/2017,9.9
5/1/2017,7.6
6/1/2017,6.1
7/1/2017,5.4
8/1/2017,5.1
9/1/2017,5.7
10/1/2017,7.2
11/1/2017,11.1
12/1/2017,12.3
1/1/2018,15.2
2/1/2018,14.8
3/1/2018,13.2
4/1/2018,10
5/1/2018,6.8
6/1/2018,5.6
7/1/2018,4.7
8/1/2018,4
9/1/2018,4.4
10/1/2018,5.5
11/1/2018,8.3
12/1/2018,9.9
1/1/2019,13.3
2/1/2019,11.8
3/1/2019,10.7
4/1/2019,7.5
5/1/2019,5
6/1/2019,4.2
7/1/2019,3.9
8/1/2019,3.6
9/1/2019,4
10/1/2019,5.3
11/1/2019,8.4
12/1/2019,9.7
1/1/2020,13
2/1/2020,11.7
3/1/2020,12.3
4/1/2020,27.9
5/1/2020,24.6
6/1/2020,18.7
7/1/2020,12.7
8/1/2020,9.9
9/1/2020,7.4
10/1/2020,7.3
11/1/2020,12
12/1/2020,10.3
1/1/2021,12.9
2/1/2021,13.4
3/1/2021,12.6
4/1/2021,10
5/1/2021,8.2
6/1/2021,7.5
7/1/2021,6.6
8/1/2021,6.1
9/1/2021,6.3
10/1/2021,6.8
11/1/2021,8.3
12/1/2021,8.8
