DATE,Index
1/1/1977,41.86
1/1/1978,51.38
1/1/1979,47.55
1/1/1980,51.41
1/1/1981,55.65
1/1/1982,60.06
1/1/1983,61.69
1/1/1984,67.62
1/1/1985,68
1/1/1986,70.06
1/1/1987,70.59
1/1/1988,68.88
1/1/1989,71.52
1/1/1990,71.47
1/1/1991,71.86
1/1/1992,74.91
1/1/1993,76.7
1/1/1994,79.15
1/1/1995,82.63
1/1/1996,87.08
1/1/1997,91.88
1/1/1998,94.93
1/1/1999,96.96
1/1/2000,100
1/1/2001,104.53
1/1/2002,108.5
1/1/2003,111.93
1/1/2004,123.11
1/1/2005,153.88
1/1/2006,167.66
1/1/2007,162.43
1/1/2008,149.13
1/1/2009,136.21
1/1/2010,126.95
1/1/2011,120.28
1/1/2012,115.92
1/1/2013,119.25
1/1/2014,125.18
1/1/2015,131.62
1/1/2016,140.54
1/1/2017,151.63
1/1/2018,163.77
1/1/2019,172.51
1/1/2020,185.32
