DATE,ATNHPIUS48167A
1976-01-01,47.39
1977-01-01,49.43
1978-01-01,57.03
1979-01-01,63.36
1980-01-01,71.08
1981-01-01,78.03
1982-01-01,76.45
1983-01-01,78.48
1984-01-01,79.98
1985-01-01,76.23
1986-01-01,74.75
1987-01-01,68.86
1988-01-01,65.48
1989-01-01,70.26
1990-01-01,73.88
1991-01-01,76.16
1992-01-01,78.79
1993-01-01,80.16
1994-01-01,80.57
1995-01-01,81.95
1996-01-01,83.79
1997-01-01,86.60
1998-01-01,89.97
1999-01-01,95.42
2000-01-01,100.00
2001-01-01,106.24
2002-01-01,111.09
2003-01-01,114.99
2004-01-01,120.79
2005-01-01,129.75
2006-01-01,139.70
2007-01-01,142.41
2008-01-01,141.63
2009-01-01,142.58
2010-01-01,137.72
2011-01-01,136.01
2012-01-01,139.07
2013-01-01,142.99
2014-01-01,153.11
2015-01-01,165.22
2016-01-01,177.74
2017-01-01,189.95
2018-01-01,203.66
2019-01-01,211.47
2020-01-01,221.48
