DATE,BPPRIV048167
1990-01-01,982
1991-01-01,1052
1992-01-01,1514
1993-01-01,1698
1994-01-01,1317
1995-01-01,1490
1996-01-01,1512
1997-01-01,1450
1998-01-01,1776
1999-01-01,2107
2000-01-01,2931
2001-01-01,2554
2002-01-01,2739
2003-01-01,3193
2004-01-01,3059
2005-01-01,3318
2006-01-01,3041
2007-01-01,2816
2008-01-01,1684
2009-01-01,1455
2010-01-01,1971
2011-01-01,1853
2012-01-01,1967
2013-01-01,2176
2014-01-01,3006
2015-01-01,2447
2016-01-01,2241.0
2017-01-01,2129.0
2018-01-01,2201.0
2019-01-01,2531.0
2020-01-01,3278.0
