DATE,TXHOUS5POP
1970-01-01,17.855
1971-01-01,18.600
1972-01-01,19.200
1973-01-01,18.900
1974-01-01,18.700
1975-01-01,18.900
1976-01-01,19.300
1977-01-01,19.900
1978-01-01,20.700
1979-01-01,21.500
1980-01-01,22.299
1981-01-01,22.641
1982-01-01,22.509
1983-01-01,22.441
1984-01-01,21.664
1985-01-01,21.723
1986-01-01,21.733
1987-01-01,21.959
1988-01-01,21.728
1989-01-01,21.630
1990-01-01,21.347
1991-01-01,21.563
1992-01-01,21.705
1993-01-01,21.982
1994-01-01,22.192
1995-01-01,22.322
1996-01-01,22.202
1997-01-01,22.406
1998-01-01,22.738
1999-01-01,23.085
2000-01-01,23.115
2001-01-01,22.969
2002-01-01,22.971
2003-01-01,22.904
2004-01-01,23.004
2005-01-01,22.786
2006-01-01,22.702
2007-01-01,22.644
2008-01-01,22.521
2009-01-01,22.426
2010-01-01,23.683
2011-01-01,23.433
2012-01-01,23.212
2013-01-01,22.806
2014-01-01,22.807
2015-01-01,22.743
2016-01-01,22.892
2017-01-01,23.073
2018-01-01,23.033
2019-01-01,22.877
2020-01-01,22.835
