DATE,OCEA134BP1FH
2004-01-01,52
2004-02-01,54
2004-03-01,69
2004-04-01,89
2004-05-01,86
2004-06-01,86
2004-07-01,115
2004-08-01,103
2004-09-01,75
2004-10-01,80
2004-11-01,125
2004-12-01,118
2005-01-01,81
2005-02-01,76
2005-03-01,102
2005-04-01,119
2005-05-01,78
2005-06-01,82
2005-07-01,67
2005-08-01,63
2005-09-01,95
2005-10-01,147
2005-11-01,91
2005-12-01,129
2006-01-01,97
2006-02-01,42
2006-03-01,144
2006-04-01,69
2006-05-01,65
2006-06-01,39
2006-07-01,30
2006-08-01,45
2006-09-01,63
2006-10-01,84
2006-11-01,43
2006-12-01,72
2007-01-01,49
2007-02-01,39
2007-03-01,48
2007-04-01,32
2007-05-01,42
2007-06-01,75
2007-07-01,68
2007-08-01,75
2007-09-01,59
2007-10-01,44
2007-11-01,38
2007-12-01,27
2008-01-01,42
2008-02-01,32
2008-03-01,44
2008-04-01,32
2008-05-01,22
2008-06-01,23
2008-07-01,27
2008-08-01,23
2008-09-01,24
2008-10-01,43
2008-11-01,24
2008-12-01,43
2009-01-01,16
2009-02-01,16
2009-03-01,18
2009-04-01,22
2009-05-01,18
2009-06-01,19
2009-07-01,12
2009-08-01,20
2009-09-01,45
2009-10-01,25
2009-11-01,28
2009-12-01,26
2010-01-01,12
2010-02-01,21
2010-03-01,25
2010-04-01,19
2010-05-01,12
2010-06-01,17
2010-07-01,15
2010-08-01,23
2010-09-01,40
2010-10-01,31
2010-11-01,30
2010-12-01,39
2011-01-01,34
2011-02-01,34
2011-03-01,15
2011-04-01,28
2011-05-01,15
2011-06-01,25
2011-07-01,22
2011-08-01,34
2011-09-01,25
2011-10-01,27
2011-11-01,33
2011-12-01,26
2012-01-01,21
2012-02-01,21
2012-03-01,28
2012-04-01,20
2012-05-01,21
2012-06-01,24
2012-07-01,23
2012-08-01,34
2012-09-01,30
2012-10-01,43
2012-11-01,30
2012-12-01,37
2013-01-01,32
2013-02-01,19
2013-03-01,37
2013-04-01,44
2013-05-01,27
2013-06-01,38
2013-07-01,22
2013-08-01,41
2013-09-01,46
2013-10-01,69
2013-11-01,57
2013-12-01,36
2014-01-01,46
2014-02-01,31
2014-03-01,25
2014-04-01,24
2014-05-01,32
2014-06-01,32
2014-07-01,39
2014-08-01,24
2014-09-01,45
2014-10-01,54
2014-11-01,47
2014-12-01,45
2015-01-01,43
2015-02-01,39
2015-03-01,45
2015-04-01,31
2015-05-01,32
2015-06-01,26
2015-07-01,44
2015-08-01,31
2015-09-01,40
2015-10-01,62
2015-11-01,41
2015-12-01,34
2016-01-01,33
2016-02-01,40
2016-03-01,41
2016-04-01,26
2016-05-01,31
2016-06-01,24
2016-07-01,26
2016-08-01,32
2016-09-01,46
2016-10-01,49
2016-11-01,59
2016-12-01,60
2017-01-01,70
2017-02-01,50
2017-03-01,33
2017-04-01,54
2017-05-01,43
2017-06-01,34
2017-07-01,40
2017-08-01,44
2017-09-01,42
2017-10-01,45
2017-11-01,35
2017-12-01,29
2018-01-01,28
2018-02-01,38
2018-03-01,29
2018-04-01,23.0
2018-05-01,29.0
2018-06-01,48.0
2018-07-01,33.0
2018-08-01,40.0
2018-09-01,46.0
2018-10-01,57.0
2018-11-01,46.0
2018-12-01,41.0
2019-01-01,31.0
2019-02-01,28.0
2019-03-01,33.0
2019-04-01,31.0
2019-05-01,46.0
2019-06-01,54.0
2019-07-01,38.0
2019-08-01,54.0
2019-09-01,42.0
2019-10-01,59.0
2019-11-01,56.0
2019-12-01,55.0
2020-01-01,45.0
2020-02-01,37.0
2020-03-01,33.0
2020-04-01,19.0
2020-05-01,34.0
2020-06-01,30.0
2020-07-01,51.0
2020-08-01,28.0
2020-09-01,54.0
2020-10-01,57.0
2020-11-01,56.0
2020-12-01,45.0
2021-01-01,73.0
2021-02-01,34.0
2021-03-01,55.0
2021-04-01,69.0
2021-05-01,55.0
2021-06-01,65.0
2021-07-01,50.0
2021-08-01,56.0
2021-09-01,61.0
2021-10-01,88.0
2021-11-01,74.0
2021-12-01,53.0
